#Sample interval: 8 ns
#Gate length: ch0: 280 ch1: 50
#Format:
#Channel;time/s;energy/channels;PSD or risetime
0;0.153194464;9;0
0;0.155188516;104;0
0;0.18800806;116;241
0;0.19961802275;1209;0
0;0.21612166931250001;146;0
0;0.22344327465625002;136;197
0;0.26838697600000005;287;184
0;0.28712110078125;6;70
0;0.2995463870625;665;44
0;0.30045148456250004;331;0
0;0.31858680887500007;558;0
0;0.31949519000000004;194;140
0;0.32715547600000006;114;0
0;0.32937482265625;276;0
0;0.329593028;95;0
0;0.34013356531250005;155;0
0;0.384678424;168;251
0;0.38809125940625006;428;0
0;0.3936540693125;159;0
0;0.3970064900000001;235;0
0;0.4105962920000001;219;46
0;0.4158835840000001;4;0
0;0.46233763465625005;200;251
0;0.4638006640000001;102;62
0;0.4850175250312501;864;11
0;0.48526697256250007;389;0
0;0.49656079200000003;132;197
0;0.5545335840000001;9;3
0;0.555678404;149;104
0;0.562393056;251;0
0;0.5654842600000001;107;178
0;0.57973372959375;309;0
0;0.5801507560000001;159;0
0;0.586996912;96;0
0;0.5899645280000001;109;0
0;0.6045646800000001;234;1
0;0.607866416;126;0
0;0.6261489792812501;1587;71
0;0.64604196;69;0
0;0.656906344;217;0
1;0.5965554294687501;3;237
0;0.67949364;180;1
0;0.6919264293125;3;111
0;0.696065114;930;0
0;0.7005558080000001;432;0
0;0.7059303946562501;192;197
0;0.71515221278125;330;78
0;0.7898638693125001;1090;0
0;0.790639630375;221;118
0;0.8042314735937501;280;208
0;0.8131064760000001;60;0
0;0.8174505720000002;158;0
0;0.8231740400000002;6;0
0;0.8250221270000001;444;187
0;0.8251747090000001;441;144
0;0.8275387226562502;154;0
0;0.8374573792500002;1580;0
0;0.8456685700000002;252;0
0;0.8555634480000002;336;0
0;0.8562178913125001;558;80
0;0.8637049680000002;377;189
0;0.8771006320000001;138;0
0;0.8789568280000001;204;145
0;0.8827622620000002;211;145
0;0.8904495120000001;61;0
0;0.9017863720000001;173;0
0;0.9028257520000001;130;0
0;0.9228257600000002;280;81
0;0.9309825000000002;169;172
0;0.9349781413125001;136;1
0;0.9415479400000001;75;122
0;0.9424805743750001;267;199
0;0.9483557240000001;141;0
1;0.8155131645625002;29;0
0;0.9494510554375001;1076;0
0;1.0113991823750001;6;0
0;1.013304704;78;0
0;1.0491173320000002;199;1
0;1.0635632480000001;561;229
0;1.0667889400000001;267;36
0;1.07328892;209;164
0;1.0767177306562503;179;169
0;1.1326810133125;5;63
0;1.1591046760000001;172;0
0;1.1863124310625;1937;0
0;1.19393739125;1261;94
0;1.2118024171250004;437;34
0;1.2192250671875002;557;118
0;1.2480110640000002;8;10
0;1.2743718506562502;141;127
0;1.2747072293125001;166;0
0;1.2747658091250003;380;163
0;1.3311129831875002;477;0
0;1.33703369865625;307;0
0;1.3507838280000002;96;0
0;1.3661597626562503;5;194
0;1.3666977720000002;135;0
0;1.368496744;42;5
1;1.24100783553125;6;128
0;1.4031919306562501;114;0
0;1.41414577265625;496;0
0;1.4414453253125001;147;103
0;1.442387947;452;202
0;1.4468220040000002;192;0
0;1.4478300680000002;201;0
0;1.4572890200000002;52;4
0;1.468636127;523;56
0;1.4788042311875;636;0
0;1.4790702050000002;468;0
0;1.4795484880000003;48;188
0;1.4974486453125002;4;1
0;1.5079475013125;86;70
0;1.5093722400000003;392;0
0;1.5128487400000004;152;90
0;1.5177846560000001;178;169
0;1.5286320400000002;196;0
0;1.557584832;83;221
0;1.5582383960000004;237;30
0;1.5698516506562503;555;20
0;1.6032451296875;2829;0
0;1.6049193786562503;85;82
0;1.6170801140000002;1324;0
0;1.6242078600000003;8;126
0;1.6386375660000003;195;197
0;1.6632442880000002;57;8
0;1.6752991040000003;236;195
0;1.6966480200937504;2314;0
0;1.73386284478125;315;146
0;1.74926279759375;468;0
0;1.7735286160000001;3;0
0;1.7924288920000002;88;2
0;1.8212514666562503;156;193
0;1.8532592605625;1287;0
0;1.8544851006562502;560;0
0;1.8557704000000002;1313;0
0;1.8566613080000003;233;62
0;1.87367194265625;351;0
0;1.8779887080000002;229;0
0;1.8849630040000003;649;132
0;1.8862097983750004;203;0
0;1.8947500560000001;7;86
0;1.9171006367812502;247;205
0;1.9188944102812504;405;21
1;1.8121418580000002;4;206
0;1.9231253780000002;228;37
0;1.9602812173125004;721;0
0;1.9627901040000002;60;0
0;1.9632888760000002;140;0
0;1.9637308800000002;110;0
0;1.9709500195000003;781;0
0;1.9986832071562504;13103;0
0;1.9986974720000001;31;17
0;1.9987016320000002;31;19
1;1.9284052480000002;4;203
0;2.000336288;338;253
0;2.0485845719999998;5;188
0;2.050890512;81;92
0;2.085138336;172;172
0;2.08572056;46;5
1;2.000940944;86;213
0;2.090733272;611;90
1;2.11720052;6;0
0;2.1172006111875;820;0
0;2.1319848720000003;43;0
0;2.133348164;368;137
0;2.1672184111875;7;0
0;2.2018457333125006;164;10
0;2.245361318375;317;71
0;2.2991469120000003;9;0
0;2.3017174933125006;143;182
0;2.308389496;92;212
0;2.319577016;45;10
0;2.3203761537500003;555;0
0;2.3224010665000003;1010;119
0;2.3772444340000005;247;0
0;2.389589924;168;250
0;2.4000462431875005;256;119
0;2.40499840290625;566;127
0;2.4100050826562502;161;0
1;2.391648171125;261;227
0;2.4252530563750003;1115;241
0;2.4590603000000004;5;130
0;2.4914547560000004;127;155
0;2.4971209087812505;227;0
1;2.4323316520000002;7;64
0;2.4997242986562505;217;0
0;2.5055022960000004;39;0
0;2.5096360000000004;126;0
0;2.5136207720000003;99;0
0;2.5191412640000004;46;184
0;2.5328537520000003;130;217
0;2.5390357399999997;97;17
0;2.564065168;6;203
0;2.5742407951875;211;0
0;2.606034468;386;0
0;2.616707464;187;8
0;2.6260564545;1005;0
1;2.503451264;49;128
0;2.6425719738124998;557;0
0;2.647111512;132;46
0;2.64765184;160;0
0;2.6480085269062497;1586;203
0;2.650522912;63;190
1;2.643695612375;4;183
0;2.651226364;545;0
0;2.6627029306562497;177;0
0;2.665250552;89;105
0;2.6788024253125;319;177
0;2.6885235551875;939;0
0;2.68895107234375;1277;0
0;2.70060834665625;4;0
0;2.7056062140000003;150;124
0;2.713926394875;1519;0
0;2.716573092;192;127
0;2.73783685865625;177;102
0;2.76396316265625;300;56
0;2.778411209;426;127
0;2.7807988960000003;153;0
0;2.78597886753125;486;0
0;2.8285853295937504;233;31
0;2.8326708160000003;5;0
0;2.8499599520000003;218;164
0;2.8670608140000002;225;63
0;2.868656404;222;121
0;2.8843817540000005;146;112
0;2.898801412;106;0
0;2.9268643840000004;30;0
0;2.928644764;83;0
0;2.9336862000000004;154;74
0;2.939259256;150;104
0;2.9647207743750004;885;15
0;2.98689143271875;9;0
0;2.9956940080000005;178;0
0;3.0006320111875002;262;154
0;3.0007846980000004;218;138
1;2.9260838870937502;56;85
0;3.0209178000000003;348;0
0;3.022116796;231;0
0;3.02212072;31;34
0;3.0234574240000005;93;82
0;3.0252249440000005;128;155
0;3.0569107537500004;27303;0
0;3.0648189471875003;183;0
0;3.0730166240000005;145;206
0;3.0751753920000002;30;20
0;3.0790549920000005;280;81
0;3.0792492640000004;44;157
0;3.0859975180000006;634;13
0;3.08617533865625;295;100
0;3.0921183935937506;356;88
0;3.1076049535937504;6;60
0;3.1142235551875004;295;0
0;3.1327207;85;221
0;3.1601095058437503;740;0
0;3.1739377526562507;549;0
0;3.1961438560000004;100;0
0;3.1983347340000003;174;244
0;3.208138716;364;183
0;3.2109169794062504;365;183
0;3.2299454720000007;108;0
0;3.253473237312501;10;0
0;3.2766283302812504;831;0
0;3.2780238320000006;145;0
0;3.284532452562501;433;0
0;3.2861624800000007;183;0
0;3.3114712292187503;1518;19
0;3.3138894034062503;1055;36
1;3.1562840487187502;3;0
0;3.32008573865625;169;178
0;3.3889580560000003;7;0
0;3.406336544;161;236
0;3.407061312;213;0
0;3.439377452;99;0
1;3.3416341065937503;3;188
0;3.44953132;40;11
0;3.4861287048750005;553;173
0;3.4891357440000004;91;82
0;3.49345645065625;363;119
0;3.4943116640000005;102;0
0;3.4978455855937503;247;0
0;3.50873927678125;7;0
0;3.5672900000000003;146;116
0;3.5686177120000004;115;28
0;3.5903844800000004;81;0
0;3.5909676633125;1098;0
0;3.5937977496875;330;78
0;3.59455128071875;487;0
0;3.602695992;138;0
0;3.6166718792500006;1120;0
0;3.6354682413125;765;0
0;3.63967711465625;7;127
0;3.64815009978125;1008;84
0;3.6569538320000006;253;116
0;3.6725662420000007;190;140
0;3.6758142960000004;34;0
0;3.6842472911875004;295;62
0;3.6943554607812503;319;0
0;3.7151593520000006;173;169
0;3.7191520900000006;415;0
0;3.7214057586875002;19829;0
0;3.7291771588437506;464;35
0;3.732733628;196;240
0;3.743144512;188;0
0;3.7692141132500008;1584;0
0;3.7769740013125004;6;111
0;3.7780795420000004;226;242
0;3.7817978960000005;217;40
0;3.8388123560000005;158;74
0;3.8534612813125;349;0
1;3.7201609318437505;4;206
0;3.8709712800000005;280;91
0;3.9063150780000004;7;0
1;3.8842247142812503;3;0
0;3.9135126280000003;106;0
0;3.9275641658125005;1309;149
0;3.9363740376875005;352;0
0;3.9691595780000006;286;0
0;3.9864807466562504;189;121
0;4.007224304;204;0
0;4.0323026853125;140;197
0;4.0510924933125;4;0
0;4.0586131493125;369;0
0;4.065729058656251;87;0
0;4.07680423;285;0
0;4.078496217656251;1146;109
0;4.0870757173125;556;40
0;4.096953718;215;0
0;4.11703136;140;182
1;4.052790363406252;5;0
0;4.126016077312501;195;154
0;4.184501930656251;4;0
0;4.185392728000001;63;244
1;4.166064028000001;57;85
0;4.223423992000001;63;0
1;4.231120761218751;4;64
0;4.243246406;162;250
0;4.254425696000001;154;46
0;4.254953567;483;0
0;4.2674161900000005;258;0
0;4.269334518;184;111
0;4.271350272000001;70;131
0;4.284989632000001;182;0
0;4.309757816;5;0
0;4.313458284000001;121;0
0;4.320523896;106;0
0;4.340698314000001;220;0
0;4.340954034656251;173;0
0;4.3640731013125;196;112
0;4.3698735985;1041;0
0;4.370125292781251;902;0
0;4.3715926836875;660;0
0;4.3732755800000005;333;0
0;4.383073610125;1643;247
0;4.3861671216875004;1280;228
0;4.388291436000001;71;195
0;4.394016416;140;0
0;4.394569904000001;133;88
0;4.403401894;239;30
0;4.403529042656251;483;0
0;4.44657489065625;10;21
0;4.452370146;174;166
0;4.4630928533125;172;172
0;4.48352362078125;392;0
0;4.501178986;197;0
0;4.526292548000001;269;0
0;4.540102856;61;0
0;4.5422280693124994;183;0
0;4.554167824000001;76;62
0;4.5684480480000005;145;0
0;4.572800348000001;103;0
0;4.579635084781251;8;255
0;4.59097848;311;136
0;4.598970352;45;8
0;4.603979152000001;178;130
0;4.632625542375001;194;140
0;4.658781932000001;40;0
0;4.6600512735937505;392;0
0;4.66348884;34;14
0;4.687359748000001;137;118
0;4.696638025;1026;0
0;4.75692544;6;191
0;4.75991013153125;447;199
0;4.772302332000001;193;201
0;4.787645896;45;0
0;4.790980832000001;129;0
0;4.793958504;86;2
0;4.80539782034375;510;230
0;4.810982424000001;175;169
0;4.841301182375001;209;42
0;4.857138978000001;6;166
0;4.878547404000001;86;126
0;4.883618949312501;148;0
0;4.890705164000001;85;221
0;4.894899744781251;668;0
0;4.900328248000001;288;0
0;4.939856736000001;100;130
0;4.947223720000001;60;222
0;4.94803542265625;345;20
0;4.960167763687501;664;61
0;5.012449339406251;4;0
0;5.064620392;217;40
0;5.0675692240000005;160;1
0;5.083003464000001;81;178
1;5.052209657218751;245;240
0;5.1281971810312506;6;0
0;5.152382818656251;192;0
